order_month,delivered_late,order_id
2016-09,On-time Delivery,3
2016-09,Late Deliveries,1
2016-10,On-time Delivery,321
2016-10,Late Deliveries,3
2016-12,On-time Delivery,1
2017-01,On-time Delivery,777
2017-01,Late Deliveries,23
2017-02,On-time Delivery,1727
2017-02,Late Deliveries,53
2017-03,On-time Delivery,2540
2017-03,Late Deliveries,142
2017-04,On-time Delivery,2223
2017-04,Late Deliveries,181
2017-05,On-time Delivery,3572
2017-05,Late Deliveries,128
2017-06,On-time Delivery,3124
2017-06,Late Deliveries,121
2017-07,On-time Delivery,3893
2017-07,Late Deliveries,133
2017-08,On-time Delivery,4192
2017-08,Late Deliveries,139
2017-09,On-time Delivery,4069
2017-09,Late Deliveries,216
2017-10,On-time Delivery,4394
2017-10,Late Deliveries,237
2017-11,On-time Delivery,6501
2017-11,Late Deliveries,1043
2017-12,On-time Delivery,5211
2017-12,Late Deliveries,462
2018-01,On-time Delivery,6805
2018-01,Late Deliveries,464
2018-02,On-time Delivery,5679
2018-02,Late Deliveries,1049
2018-03,On-time Delivery,5715
2018-03,Late Deliveries,1496
2018-04,On-time Delivery,6578
2018-04,Late Deliveries,361
2018-05,On-time Delivery,6317
2018-05,Late Deliveries,556
2018-06,On-time Delivery,6084
2018-06,Late Deliveries,83
2018-07,On-time Delivery,6016
2018-07,Late Deliveries,276
2018-08,On-time Delivery,5852
2018-08,Late Deliveries,660
2018-09,On-time Delivery,16
2018-10,On-time Delivery,4
