customer_state,customer_count,geolocation_lat_cons,geolocation_lng_cons
AC,81,-9.913503437694219,-68.04591174790488
AL,413,-9.530075317513418,-35.94369643241241
AM,148,-3.2128838132241286,-60.077964872561466
AP,68,0.05342323968543286,-51.161378871140336
BA,3380,-13.042902555331734,-39.45926220311226
CE,1336,-4.3187257834224795,-38.957478329484715
DF,2140,-15.812801879522896,-47.95968174774297
ES,2033,-20.1313896048978,-40.50315337937381
GO,2020,-16.611579041830865,-49.33245392993694
MA,747,-3.559810641165087,-44.68113619360116
MG,11635,-19.92301128915325,-44.44304817637225
MS,715,-20.732429657847316,-54.450485406053616
MT,907,-14.37354014783771,-55.78064895271841
PA,975,-2.3959401405842677,-49.092650152275205
PB,536,-7.086825989617268,-35.651625028484396
PE,1652,-8.200170175803544,-35.77325025143065
PI,495,-5.505524612990483,-42.590745246027296
PR,5045,-24.789919492382626,-50.79834956367413
RJ,12852,-22.74227696129657,-43.16917843651761
RN,485,-5.838279920054423,-35.94596301871712
RO,253,-10.132602547303179,-62.90203043962804
RR,46,2.837951798332239,-60.6748240068202
RS,5466,-29.71620567451692,-51.94493511060156
SC,3637,-27.242354354686924,-49.559714406783506
SE,350,-10.872666903946318,-37.17172746221632
SP,41746,-23.166876605418107,-47.048091830658294
TO,280,-9.708434113125467,-48.37388570536294
