Recency,Frequency,Monetary,F_rank,R_rank,M_rank,RFM_Score,Segment
2715.0,1,114.74,3,4,3,433,Potential Loyalists
2841.0,1,67.41,3,5,2,532,Other
2982.0,1,195.42,3,5,4,534,Other
2791.0,1,179.35,3,4,4,434,Potential Loyalists
2579.0,1,107.01,3,2,3,233,Other
2937.0,1,71.8,3,5,2,532,Other
2575.0,1,49.4,3,2,1,231,Low Value
2687.0,1,166.59,3,3,4,334,Potential Loyalists
2772.0,1,85.23,3,4,3,433,Potential Loyalists
2450.0,1,1255.71,3,1,5,135,New Customers
2509.0,1,147.33,3,1,4,134,New Customers
2964.0,1,58.95,3,5,2,532,Other
2630.0,1,270.0,3,3,5,335,Big Spenders
2790.0,1,106.97,3,4,3,433,Potential Loyalists
2919.0,1,173.6,3,5,4,534,Other
2758.0,1,45.56,3,4,1,431,Low Value
2918.0,1,106.23,3,5,3,533,Other
2713.0,1,139.52,3,4,4,434,Potential Loyalists
2562.0,1,66.81,3,2,2,232,Other
2922.0,1,54.83,3,5,2,532,Other
2576.0,1,37.61,3,2,1,231,Low Value
2663.0,1,100.34,3,3,3,333,Potential Loyalists
2527.0,1,65.2,3,2,2,232,Other
2884.0,1,66.01,3,5,2,532,Other
2765.0,1,47.53,3,4,1,431,Low Value
2583.0,1,369.92,3,2,5,235,Big Spenders
2672.0,1,162.15,3,3,4,334,Potential Loyalists
2550.0,1,92.6,3,2,3,233,Other
2610.0,1,61.33,3,3,2,332,Potential Loyalists
2666.0,1,221.79,3,3,5,335,Big Spenders
2898.0,1,40.75,3,5,1,531,Low Value
0.0,1,184.94,3,1,4,134,New Customers
2517.0,1,132.19,3,2,4,234,Other
2827.0,1,186.74,3,5,4,534,Other
2600.0,1,50.01,3,3,1,331,Low Value
2494.0,1,56.87,3,1,2,132,New Customers
2771.0,1,51.27,3,4,1,431,Low Value
2615.0,1,112.83,3,3,3,333,Potential Loyalists
2662.0,1,53.72,3,3,1,331,Low Value
2572.0,1,82.87,3,2,2,232,Other
2574.0,1,21.94,3,2,1,231,Low Value
2460.0,1,42.86,3,1,1,131,New Customers
2545.0,1,125.97,3,2,3,233,Other
2631.0,1,46.53,3,3,1,331,Low Value
3000.0,1,34.86,3,5,1,531,Low Value
2520.0,1,928.7,3,2,5,235,Big Spenders
2656.0,1,69.84,3,3,2,332,Potential Loyalists
0.0,1,249.56,3,1,5,135,New Customers
2651.0,1,258.01,3,3,5,335,Big Spenders
2811.0,1,40.0,3,4,1,431,Low Value
2454.0,1,244.08,3,1,5,135,New Customers
2446.0,1,121.9,3,1,3,133,New Customers
0.0,1,139.15,3,1,4,134,New Customers
2761.0,1,214.14,3,4,5,435,Big Spenders
2554.0,1,74.94,3,2,2,232,Other
2463.0,1,31.7,3,1,1,131,New Customers
2694.0,1,43.55,3,4,1,431,Low Value
2631.0,1,483.7,3,3,5,335,Big Spenders
2554.0,1,92.81,3,2,3,233,Other
2526.0,1,40.22,3,2,1,231,Low Value
0.0,1,51.17,3,1,1,131,New Customers
2712.0,1,371.87,3,4,5,435,Big Spenders
2523.0,1,185.6,3,2,4,234,Other
2625.0,1,45.61,3,3,1,331,Low Value
2471.0,1,117.74,3,1,3,133,New Customers
2453.0,1,133.57,3,1,4,134,New Customers
2505.0,1,199.02,3,1,4,134,New Customers
2744.0,1,107.84,3,4,3,433,Potential Loyalists
2873.0,1,153.51,3,5,4,534,Other
2713.0,1,67.68,3,4,2,432,Potential Loyalists
2461.0,1,81.14,3,1,2,132,New Customers
2588.0,1,159.48,3,2,4,234,Other
2707.0,1,58.59,3,4,2,432,Potential Loyalists
2726.0,1,26.85,3,4,1,431,Low Value
2672.0,1,59.34,3,3,2,332,Potential Loyalists
2476.0,1,133.81,3,1,4,134,New Customers
2650.0,1,671.85,3,3,5,335,Big Spenders
2975.0,1,81.0,3,5,2,532,Other
2737.0,1,55.1,3,4,2,432,Potential Loyalists
2679.0,1,243.69,3,3,5,335,Big Spenders
2884.0,1,79.48,3,5,2,532,Other
2560.0,1,84.24,3,2,2,232,Other
2755.0,1,53.33,3,4,1,431,Low Value
2568.0,1,78.2,3,2,2,232,Other
2653.0,1,61.85,3,3,2,332,Potential Loyalists
0.0,1,603.4,3,1,5,135,New Customers
2611.0,1,64.1,3,3,2,332,Potential Loyalists
2660.0,1,34.59,3,3,1,331,Low Value
2748.0,1,79.28,3,4,2,432,Potential Loyalists
2559.0,1,25.46,3,2,1,231,Low Value
2587.0,1,600.04,3,2,5,235,Big Spenders
2707.0,1,43.68,3,4,1,431,Low Value
2567.0,1,128.25,3,2,3,233,Other
0.0,1,420.94,3,1,5,135,New Customers
2623.0,1,27.75,3,3,1,331,Low Value
2874.0,1,30.6,3,5,1,531,Low Value
2944.0,1,77.1,3,5,2,532,Other
2663.0,1,17.77,3,3,1,331,Low Value
2609.0,1,84.91,3,3,2,332,Potential Loyalists
2498.0,1,219.49,3,1,5,135,New Customers
3001.0,1,41.93,3,5,1,531,Low Value
2911.0,1,367.2,3,5,5,535,Big Spenders
2600.0,1,81.32,3,3,2,332,Potential Loyalists
2687.0,1,273.66,3,3,5,335,Big Spenders
2937.0,1,33.47,3,5,1,531,Low Value
2709.0,1,115.45,3,4,3,433,Potential Loyalists
2440.0,1,98.04,3,1,3,133,New Customers
2498.0,1,303.79,3,1,5,135,New Customers
2524.0,1,87.94,3,2,3,233,Other
2490.0,1,152.47,3,1,4,134,New Customers
3100.0,1,108.84,3,5,3,533,Other
2630.0,1,70.91,3,3,2,332,Potential Loyalists
2656.0,1,106.87,3,3,3,333,Potential Loyalists
2796.0,1,1250.81,3,4,5,435,Big Spenders
2552.0,1,163.78,3,2,4,234,Other
2824.0,1,307.24,3,5,5,535,Big Spenders
2525.0,1,50.29,3,2,1,231,Low Value
2554.0,1,32.69,3,2,1,231,Low Value
2547.0,1,98.97,3,2,3,233,Other
2613.0,1,71.92,3,3,2,332,Potential Loyalists
2812.0,1,44.0,3,5,1,531,Low Value
2846.0,1,164.38,3,5,4,534,Other
2468.0,1,122.84,3,1,3,133,New Customers
2996.0,1,237.99,3,5,5,535,Big Spenders
2642.0,1,1233.65,3,3,5,335,Big Spenders
2852.0,1,162.45,3,5,4,534,Other
2817.0,1,51.78,3,5,1,531,Low Value
2574.0,1,74.41,3,2,2,232,Other
2951.0,1,51.71,3,5,1,531,Low Value
2798.0,1,60.0,3,4,2,432,Potential Loyalists
2833.0,1,59.29,3,5,2,532,Other
2778.0,1,63.49,3,4,2,432,Potential Loyalists
2644.0,1,38.01,3,3,1,331,Low Value
2618.0,1,123.69,3,3,3,333,Potential Loyalists
2443.0,1,93.89,3,1,3,133,New Customers
2554.0,1,287.54,3,2,5,235,Big Spenders
2985.0,1,270.0,3,5,5,535,Big Spenders
2905.0,1,39.89,3,5,1,531,Low Value
2605.0,1,283.42,3,3,5,335,Big Spenders
2987.0,1,54.55,3,5,2,532,Other
2663.0,1,129.89,3,3,4,334,Potential Loyalists
2635.0,1,129.32,3,3,4,334,Potential Loyalists
2502.0,1,194.04,3,1,4,134,New Customers
2492.0,1,141.74,3,1,4,134,New Customers
2503.0,1,149.31,3,1,4,134,New Customers
2586.0,1,318.44,3,2,5,235,Big Spenders
2456.0,1,254.58,3,1,5,135,New Customers
2519.0,1,97.23,3,2,3,233,Other
2574.0,1,236.56,3,2,5,235,Big Spenders
2615.0,1,76.65,3,3,2,332,Potential Loyalists
2468.0,1,367.11,3,1,5,135,New Customers
2574.0,1,86.8,3,2,3,233,Other
2528.0,1,124.02,3,2,3,233,Other
2585.0,1,161.48,3,2,4,234,Other
2707.0,1,34.09,3,4,1,431,Low Value
2551.0,1,91.35,3,2,3,233,Other
2453.0,1,41.01,3,1,1,131,New Customers
2895.0,1,34.09,3,5,1,531,Low Value
2663.0,1,186.85,3,3,4,334,Potential Loyalists
2712.0,1,35.77,3,4,1,431,Low Value
2474.0,1,75.68,3,1,2,132,New Customers
2891.0,1,76.94,3,5,2,532,Other
2513.0,1,128.27,3,2,3,233,Other
2720.0,1,132.39,3,4,4,434,Potential Loyalists
2992.0,1,471.05,3,5,5,535,Big Spenders
2502.0,1,284.09,3,1,5,135,New Customers
2866.0,1,70.35,3,5,2,532,Other
2898.0,1,85.14,3,5,2,532,Other
2717.0,1,71.72,3,4,2,432,Potential Loyalists
2580.0,1,65.03,3,2,2,232,Other
2791.0,1,107.78,3,4,3,433,Potential Loyalists
2504.0,1,128.53,3,1,4,134,New Customers
2489.0,1,21.86,3,1,1,131,New Customers
2667.0,1,90.05,3,3,3,333,Potential Loyalists
2687.0,1,425.24,3,3,5,335,Big Spenders
2758.0,1,65.6,3,4,2,432,Potential Loyalists
2676.0,1,102.87,3,3,3,333,Potential Loyalists
2842.0,1,27.77,3,5,1,531,Low Value
2783.0,1,195.92,3,4,4,434,Potential Loyalists
2505.0,1,128.97,3,1,4,134,New Customers
2502.0,1,94.74,3,1,3,133,New Customers
2666.0,1,44.09,3,3,1,331,Low Value
2933.0,1,75.53,3,5,2,532,Other
2443.0,1,128.4,3,1,3,133,New Customers
2968.0,1,57.42,3,5,2,532,Other
2723.0,1,136.28,3,4,4,434,Potential Loyalists
2519.0,1,83.7,3,2,2,232,Other
2748.0,1,99.7,3,4,3,433,Potential Loyalists
2583.0,1,43.13,3,2,1,231,Low Value
3014.0,1,77.06,3,5,2,532,Other
2671.0,1,281.26,3,3,5,335,Big Spenders
2656.0,1,38.56,3,3,1,331,Low Value
2595.0,1,298.28,3,2,5,235,Big Spenders
2587.0,1,65.0,3,2,2,232,Other
2619.0,1,179.78,3,3,4,334,Potential Loyalists
2880.0,1,410.37,3,5,5,535,Big Spenders
2950.0,1,98.83,3,5,3,533,Other
2740.0,1,72.66,3,4,2,432,Potential Loyalists
2582.0,1,55.13,3,2,2,232,Other
0.0,1,77.63,3,1,2,132,New Customers
2826.0,1,100.34,3,5,3,533,Other
2758.0,1,76.08,3,4,2,432,Potential Loyalists
2467.0,1,52.18,3,1,1,131,New Customers
2835.0,1,66.01,3,5,2,532,Other
2937.0,1,28.42,3,5,1,531,Low Value
2908.0,1,128.31,3,5,3,533,Other
2463.0,1,116.79,3,1,3,133,New Customers
2750.0,1,27.33,3,4,1,431,Low Value
2632.0,1,150.87,3,3,4,334,Potential Loyalists
2569.0,1,157.77,3,2,4,234,Other
2789.0,1,51.14,3,4,1,431,Low Value
0.0,1,55.96,3,1,2,132,New Customers
2560.0,1,82.43,3,2,2,232,Other
2672.0,1,450.24,3,3,5,335,Big Spenders
2784.0,1,107.87,3,4,3,433,Potential Loyalists
2960.0,1,189.81,3,5,4,534,Other
2462.0,1,95.65,3,1,3,133,New Customers
2673.0,1,198.67,3,3,4,334,Potential Loyalists
2622.0,1,524.3,3,3,5,335,Big Spenders
2695.0,1,103.36,3,4,3,433,Potential Loyalists
2895.0,1,65.09,3,5,2,532,Other
0.0,1,25.97,3,1,1,131,New Customers
2492.0,1,137.93,3,1,4,134,New Customers
2587.0,1,189.56,3,2,4,234,Other
2743.0,1,65.09,3,4,2,432,Potential Loyalists
2779.0,1,299.2,3,4,5,435,Big Spenders
2440.0,1,118.35,3,1,3,133,New Customers
2476.0,1,139.15,3,1,4,134,New Customers
2657.0,1,257.3,3,3,5,335,Big Spenders
2562.0,1,521.37,3,2,5,235,Big Spenders
2515.0,1,148.68,3,2,4,234,Other
2952.0,1,119.39,3,5,3,533,Other
2824.0,1,168.2,3,5,4,534,Other
2471.0,1,43.29,3,1,1,131,New Customers
2930.0,1,127.98,3,5,3,533,Other
2627.0,1,165.8,3,3,4,334,Potential Loyalists
2541.0,1,152.4,3,2,4,234,Other
2777.0,1,590.37,3,4,5,435,Big Spenders
2635.0,1,135.58,3,3,4,334,Potential Loyalists
2517.0,1,148.54,3,2,4,234,Other
2917.0,1,50.7,3,5,1,531,Low Value
2572.0,1,288.76,3,2,5,235,Big Spenders
2776.0,1,77.57,3,4,2,432,Potential Loyalists
2625.0,1,48.68,3,3,1,331,Low Value
